model,val_timestamp,MSE,RMSE,MAPE,sMAPE,MAE,Huber_loss
RNN_2_look72_overlap1,2008-01-01 06:00:00,72765.77824204513,269.7513266733736,233.90456333622635,153.30449688888723,235.25437923908234,234.75437927246094
RNN_2_look72_overlap1,2008-04-01 06:00:00,4030.8556344823187,63.489019794625264,39.57432782364236,105.80950163203669,47.896331586365896,47.40022277832031
RNN_2_look72_overlap1,2008-07-01 06:00:00,37436.479390070235,193.48508828865917,50.32131324463749,111.56384120170308,156.6279285490513,156.1279296875
RNN_2_look72_overlap1,2008-10-01 06:00:00,3066.468622456888,55.375704261498,29.825318981238457,111.13314363509022,47.78475801706313,47.284759521484375
RNN_2_look96_overlap1,2008-01-01 06:00:00,44744.02012064511,211.5278235141777,178.9877143652042,145.7585866980396,164.59719184925157,164.09719848632812
RNN_2_look96_overlap1,2008-04-01 06:00:00,5448.474496752372,73.81378256634984,65.36779333518942,113.8711128091468,60.87261547505855,60.37807846069336
RNN_2_look96_overlap1,2008-07-01 06:00:00,42491.61453345547,206.13494253390294,43.77790644704847,107.60930548024767,152.33916701773802,151.8391571044922
RNN_2_look96_overlap1,2008-10-01 06:00:00,8482.005567031081,92.09780435510437,55.76582729723808,119.68211076957398,78.06394421219825,77.5639419555664
RNN_2_look48_overlap24,2008-01-01 06:00:00,63000.620626117954,250.99924427399768,141.31102219072773,173.87446165066203,212.52379187027614,212.02378845214844
RNN_2_look48_overlap24,2008-04-01 06:00:00,126651.31788641158,355.88104457305894,108.16367625232249,158.57415618491623,274.07348206018406,273.573486328125
RNN_2_look48_overlap24,2008-07-01 06:00:00,249383.200640313,499.3828197288259,131.10618232446262,155.72240185263698,372.8180434842904,372.3180236816406
RNN_2_look48_overlap24,2008-10-01 06:00:00,129821.4537906084,360.30744342936964,99.26693297668848,166.10528048766972,276.67774933894475,276.1777648925781
RNN_2_look72_overlap36,2008-01-01 06:00:00,11579.457890100857,107.6078895346473,53.03236327655674,135.62413379069233,90.28029629270236,89.7802963256836
RNN_2_look72_overlap36,2008-04-01 06:00:00,14178.03248603902,119.07154356116754,57.50168160484604,122.47161083521067,95.85856624523798,95.35857391357422
RNN_2_look72_overlap36,2008-07-01 06:00:00,30382.352926868247,174.305343942371,50.52145527254428,106.07236691575517,137.04679683526356,136.5467987060547
RNN_2_look72_overlap36,2008-10-01 06:00:00,13833.34568268938,117.61524426148755,55.27771235675628,121.88439207037626,98.00342519283295,97.50341796875
RNN_2_look96_overlap48,2008-01-01 06:00:00,90367.13031181895,300.61126111943804,118.08351774782628,165.7437953302346,227.60257103363674,227.1025848388672
RNN_2_look96_overlap48,2008-04-01 06:00:00,143628.92179593458,378.9840653588678,269.22253746914066,157.6317015406588,305.06021542867023,304.5602111816406
RNN_2_look96_overlap48,2008-07-01 06:00:00,258482.24191516623,508.41148877180797,167.85039558948728,154.60177197623875,402.89671963532766,402.3966979980469
RNN_2_look96_overlap48,2008-10-01 06:00:00,166418.5756409318,407.9443290951987,201.12281137530306,159.77137629469348,327.37872680137554,326.8787536621094
RNN_2_look48_overlap48,2008-01-01 06:00:00,114697.59356334219,338.6703316845782,198.64186674787874,161.13885632535448,269.7474533212185,269.2474670410156
RNN_2_look48_overlap48,2008-04-01 06:00:00,186850.9199391296,432.26255902995996,357.0694054674706,156.58092014922568,360.09990297677615,359.60302734375
RNN_2_look48_overlap48,2008-07-01 06:00:00,302103.5614394448,549.6394831518609,206.7120944239769,149.52513373087507,465.6284353017807,465.1284484863281
RNN_2_look48_overlap48,2008-10-01 06:00:00,232944.5986146206,482.64334514693206,192.13200628557374,165.98998778310587,415.877889174819,415.3779296875
RNN_2_look72_overlap72,2008-01-01 06:00:00,63329.35579327936,251.6532451475231,164.3507379735461,181.16250418056345,206.88278771678605,206.3827667236328
RNN_2_look72_overlap72,2008-04-01 06:00:00,146088.6017664522,382.2153866165675,159.80529174030414,173.80482470661568,292.83064099972444,292.3306579589844
RNN_2_look72_overlap72,2008-07-01 06:00:00,261339.23283307417,511.2134904646729,158.48733674577244,168.93000538604502,386.17749170253666,385.677490234375
RNN_2_look72_overlap72,2008-10-01 06:00:00,153511.3725199617,391.80527372658185,129.86394530652635,177.09697052137003,298.90702261437974,298.4070129394531
RNN_2_look96_overlap96,2008-01-01 06:00:00,86538.48052325002,294.1742349752099,129.58031131382072,159.9640766887482,222.27406693021456,221.7740478515625
RNN_2_look96_overlap96,2008-04-01 06:00:00,149716.85639370445,386.93262513479584,276.5264106091015,161.56824966862854,314.5024835668007,314.0024719238281
RNN_2_look96_overlap96,2008-07-01 06:00:00,261166.46480058754,511.044484170006,215.64152229889976,157.89486698694483,415.13008711472156,414.631591796875
RNN_2_look96_overlap96,2008-10-01 06:00:00,170060.5607222418,412.38399668542155,171.8619625947184,165.25102964901254,334.11996267755825,333.6199645996094
LSTM_1_look48_overlap1,2008-01-01 06:00:00,1747.2582200135619,41.80021794217779,25.377951561072436,129.59151082222118,34.91766153097153,34.417659759521484
LSTM_1_look48_overlap1,2008-04-01 06:00:00,3639.2580056875454,60.326262984603524,23.93168942270262,102.58634021426396,37.38231988728047,36.888240814208984
LSTM_1_look48_overlap1,2008-07-01 06:00:00,3952.030825151795,62.865179751208814,30.67350296438856,92.87780594388873,51.90516746401787,51.40517044067383
LSTM_1_look48_overlap1,2008-10-01 06:00:00,1319.0588448032893,36.31884971751293,10.74796646815747,105.69823888473573,27.761294597446298,27.2970027923584
LSTM_1_look72_overlap1,2008-01-01 06:00:00,1413.0448932247352,37.590489398579734,20.97732894214457,128.1126207864129,32.200475772581996,31.70769691467285
LSTM_1_look72_overlap1,2008-04-01 06:00:00,3388.013687020551,58.20664641620019,29.34069136337083,102.67506215072713,39.027043158511326,38.527042388916016
LSTM_1_look72_overlap1,2008-07-01 06:00:00,4241.096023737419,65.12369786596443,22.548612444886274,88.33170434899247,53.62286790599427,53.12287521362305
LSTM_1_look72_overlap1,2008-10-01 06:00:00,1578.406570211602,39.7291652342659,14.585300785977227,108.26317084909608,31.52749449580908,31.03289794921875
LSTM_1_look96_overlap1,2008-01-01 06:00:00,2372.5168992668555,48.708488985667124,37.53051215097935,131.46805432800568,44.334414706230156,43.83441162109375
LSTM_1_look96_overlap1,2008-04-01 06:00:00,2995.0579864929828,54.727122950991884,24.705008071780735,101.29506627015996,31.33787450214227,30.841684341430664
LSTM_1_look96_overlap1,2008-07-01 06:00:00,11060.53977046794,105.16910083512144,41.46233463287163,105.55281321941197,86.50301152785619,86.00301361083984
LSTM_1_look96_overlap1,2008-10-01 06:00:00,10663.424585739214,103.26385904922988,26.813135877572265,115.7601529906225,69.1864784650753,68.69229888916016
LSTM_1_look48_overlap24,2008-01-01 06:00:00,43094.377399510515,207.5918529218103,97.36063156433609,166.6739557542255,164.20808490278822,163.7080841064453
LSTM_1_look48_overlap24,2008-04-01 06:00:00,103282.76500822608,321.3763603755355,146.41531066568692,151.1724481973891,251.3791437959671,250.879150390625
LSTM_1_look48_overlap24,2008-07-01 06:00:00,194911.05393351847,441.4873202409311,145.75087472100515,138.2051592577188,335.56936175982156,335.0710754394531
LSTM_1_look48_overlap24,2008-10-01 06:00:00,116978.58932401535,342.02132875599347,94.25212866017843,155.05749357673366,261.7893130524953,261.289306640625
LSTM_1_look72_overlap36,2008-01-01 06:00:00,5731.4840763431375,75.70656560922004,49.62492493551573,136.4393826729453,59.503859363297614,59.00592041015625
LSTM_1_look72_overlap36,2008-04-01 06:00:00,5669.230442261141,75.29429222896741,57.785238743882374,106.72439448774931,54.91326152036587,54.41486740112305
LSTM_1_look72_overlap36,2008-07-01 06:00:00,5689.154090656972,75.42648136203208,26.483110362851058,87.80054385326747,64.37841661671797,63.87908935546875
LSTM_1_look72_overlap36,2008-10-01 06:00:00,6389.615229822036,79.93506883603739,39.741018983050985,114.10952288837655,60.60296618709962,60.10853958129883
LSTM_1_look96_overlap48,2008-01-01 06:00:00,39103.971347001796,197.74724106040466,130.56894484853868,179.31309934340533,149.8799335675252,149.38888549804688
LSTM_1_look96_overlap48,2008-04-01 06:00:00,112784.96828748134,335.83473359300007,201.6004314040515,172.48979380873752,257.2103132683039,256.7127380371094
LSTM_1_look96_overlap48,2008-07-01 06:00:00,238009.64691644427,487.86232373123903,174.41566601301162,164.203817609052,370.1658942939342,369.6675109863281
LSTM_1_look96_overlap48,2008-10-01 06:00:00,131255.96494503788,362.29265096747116,138.61767753423356,175.33149449980036,269.5478637943914,269.0516662597656
LSTM_1_look48_overlap48,2008-01-01 06:00:00,37843.22481123951,194.53335141111282,124.14791702629114,177.82984898680704,147.70801811289041,147.2154083251953
LSTM_1_look48_overlap48,2008-04-01 06:00:00,110681.90688279015,332.688904057214,189.1974337259799,171.87912355020404,253.6358373639981,253.13645935058594
LSTM_1_look48_overlap48,2008-07-01 06:00:00,237528.54620211225,487.36900414584454,175.6747072143179,163.8270465540167,369.3508980582407,368.8553466796875
LSTM_1_look48_overlap48,2008-10-01 06:00:00,129845.23233082045,360.34043948857646,134.1993041884948,173.96078306730573,267.71370059241855,267.2137145996094
LSTM_1_look72_overlap72,2008-01-01 06:00:00,30925.555862088444,175.8566343988433,80.78636979815033,165.62516077462195,138.44040327926476,137.94039916992188
LSTM_1_look72_overlap72,2008-04-01 06:00:00,100427.39212167614,316.9028117920006,158.97396412418593,148.5685698287389,258.25428010682265,257.7542724609375
LSTM_1_look72_overlap72,2008-07-01 06:00:00,197571.8020511271,444.4904971437827,164.16269466450498,132.37477825892225,354.52764088789627,354.0276184082031
LSTM_1_look72_overlap72,2008-10-01 06:00:00,111286.38371398627,333.5961386377041,105.58615601538082,151.6426085002244,269.6540132208665,269.1540222167969
LSTM_1_look96_overlap96,2008-01-01 06:00:00,34471.153578711215,185.6640880157259,115.96154402420424,180.48274733906027,136.0919441307212,135.6004638671875
LSTM_1_look96_overlap96,2008-04-01 06:00:00,112384.38567957112,335.2378046694184,186.57959266397387,173.42238889681437,253.37546941357354,252.8754425048828
LSTM_1_look96_overlap96,2008-07-01 06:00:00,239351.52390995485,489.23565273797743,169.34375875033854,164.31468959730717,368.19623399565626,367.6961975097656
LSTM_1_look96_overlap96,2008-10-01 06:00:00,130367.6611454885,361.06462184142123,128.90260157010778,176.9705692031701,262.629563776056,262.1298522949219
LSTM_2_look48_overlap1,2008-01-01 06:00:00,1052.9419662803332,32.449067263641545,16.96080676539047,126.68210669166878,19.34567643105984,18.84934425354004
LSTM_2_look48_overlap1,2008-04-01 06:00:00,2799.7661653494074,52.91281664539705,22.684897459558993,100.75767909502642,30.83440339571486,30.348464965820312
